Watershed,SiteNumber,PctDeveloped,PctForest,PctGrassland,PctPasture,PctCrops
1,1,2.899451473,2.828519877,2.346863793,4.068388714,0
1,8,1.572943388,1.676690139,2.867943816,4.116473827,2.171722825
1,10,1.794542661,0,3.499745447,3.732960347,3.138688179
1,11,0.893349163,4.06239631,2.545733394,3.256112017,1.747854261
1,12,1.196494756,3.467603256,2.935897607,2.48639208,3.65778721
1,13,2.179641707,2.179641707,3.172866105,3.975703315,2.317505902
1,14,2.371269632,2.220082715,3.239018415,3.903081414,2.304317695
1,16,2.05189159,0.298492989,2.373894121,0,4.43236839
1,18,0.810930216,2.829530099,2.505525937,4.110873864,2.530716186
1,22,0.748385911,0,2.886280251,3.003386645,4.15585093
1,26,2.227077541,3.54227598,2.655160737,3.629177702,2.161230975
1,27,1.786967893,3.259933356,3.207182484,3.83547641,0.453374737
1,29,1.172265198,2.393543024,3.421582662,3.66909912,3.043763885
1,32,0.822000068,0,2.313274569,0,4.5066472
1,34,1.11671233,3.818163827,1.756912738,3.787608441,1.868635947
1,35,0,4.041141352,0,3.775015574,0.920511419
1,36,2.155427449,1.214444104,1.650680871,3.568791132,3.921452096
1,38,2.632120886,0,3.46472733,3.713572067,2.840774817
1,41,1.375885345,3.613473416,3.363309114,3.291664245,2.101026429
1,48,1.209444927,2.331611023,2.415053546,3.898335128,3.428917118
1,57,1.829176982,0,3.324941974,0,4.233727537
1,61,2.617657336,4.136182327,0.834182918,1.877548601,2.990343185
1,75,1.909344426,0,2.337787047,0,4.453102896
1,84,1.325065275,1.619698171,2.079211313,3.492257233,4.013275648
1,85,2.48197839,4.083171262,2.081632123,3.206163789,0
1,86,1.876045192,2.845259912,2.981561996,4.076088477,0.96818686
1,93,0.48792386,4.147318833,1.91950898,3.372271503,1.421819332
1,96,1.372699919,2.585879485,2.560912516,3.588733542,3.650126716
1,108,1.036825634,0.293637003,2.012853139,3.965817152,3.703532662
1,109,0,3.585952622,1.100281738,4.157433098,0
1,117,0,4.58156032,1.466337069,0,0
1,118,1.116424464,2.608615137,2.797547432,4.066994914,2.529981463
1,123,2.313978277,3.623229204,2.050377409,1.944420945,3.753417975
1,128,0,0.689830428,1.743714061,1.827003019,4.500618762
1,130,3.239062846,4.170155099,2.546684009,0,0
1,135,1.757982847,0.858108776,1.126011263,3.318917875,4.175000237
1,149,0,4.187207958,3.587989219,0,0
1,154,1.450662767,3.548123628,0.808334835,4.139028452,0
1,156,0,4.406421761,0,2.996951043,0
1,157,0,3.24689654,1.075173716,4.308905701,0
1,163,2.010381536,4.319290999,2.898276937,0,1.1803886
1,170,0.716970161,4.005119951,2.422369386,3.384781048,1.986408641
1,201,1.205725653,3.291278082,3.00330586,3.732644482,2.552729246
1,202,2.233592221,3.145109675,2.585394201,3.494822641,3.266960273
1,1414,0,2.896857189,2.241603801,3.886658996,3.322396812
1,3232,2.178217526,0,2.9892285,1.605321622,4.253051142
1,5757,1.525920212,2.952478399,2.340812174,2.902212353,3.892714153
2,1,1.693641613,3.113307603,2.241902058,3.551870727,3.489687416
2,4,0.885904984,3.826315033,0.388698248,3.99280361,0
2,17,1.387659549,0,3.231473733,3.028786472,3.989085236
2,20,0.278020162,4.334941746,1.072636802,3.154268925,0
2,25,2.479935903,1.194910755,2.936528188,0,4.247150769
2,29,2.87568604,2.206636412,2.391426945,3.663925283,3.340528433
2,33,3.220269623,3.500424556,3.473759357,2.532232975,0.404219002
2,36,1.3700178,3.957708302,2.968388564,2.880868164,2.436858219
2,39,0.937818985,2.881408275,3.330166906,3.611197946,0
2,40,1.113372704,3.612524177,3.056837864,0,3.752691643
2,41,1.325741741,1.803214348,1.195178487,4.424708649,2.125044715
2,52,1.294085274,3.032816129,1.932436014,3.778945394,3.305893991
2,56,1.114184709,3.952679582,1.499632185,3.644324169,1.686626381
2,57,0,1.171251472,2.163952649,3.91147491,3.739950121
2,65,2.369256431,1.283346392,2.659694725,3.516631214,3.755114904
2,73,2.334472185,2.891277848,2.810469332,4.021389473,0.967630645
2,77,2.487776092,1.492516574,2.865152187,4.150768351,2.012601524
2,80,0,4.450125387,0.6257059,2.740372406,0
2,82,0,3.958942262,0,3.804999633,1.735699957
2,101,1.457848054,0,2.083553953,2.554753857,4.366940887
2,103,0,4.440876268,2.079273291,2.12852007,0.793583073
2,105,0.781968513,3.435261415,1.963817734,3.697047585,3.170781071
2,113,0,1.26025364,1.990034954,2.971763083,4.299073996
2,119,1.826985654,3.202682842,2.051512766,3.563583751,3.269316083
2,120,3.309721187,3.834105821,1.275120445,2.977573078,2.098168953
2,129,0,0,1.709880696,3.704325584,4.040399626
2,150,0,4.020641367,1.214444104,3.326549453,2.836304537
2,161,2.137505343,1.127185661,2.604298696,3.82580183,3.52763848
2,178,1.801440087,3.522806494,2.807243881,3.192380031,2.408451318
2,193,0.742374121,3.73788803,3.733510698,1.521258213,2.244994854
2,201,2.554464334,3.509917864,2.535463192,3.126399398,3.049123849
2,202,1.939084184,1.751268108,2.144723834,4.243494095,2.645837017
2,203,1.828393602,1.787604914,2.607285704,3.732801117,3.622814063
2,204,0,3.905917448,3.124087248,3.330650508,1.283346392
3,5,2.662587827,3.88031794,1.108227747,0.971730009,3.598833174
3,8,0,4.537150866,2.148939336,0,0
3,10,1.933307403,3.964273029,1.888057639,0,3.509031899
3,17,0,4.615120517,0,0,0
3,24,0,4.122515439,1.633326128,0,3.588087242
3,61,2.165849455,3.881364757,0,0,3.82401429
3,2828,1.337363738,0,3.505658617,2.046604901,4.080010103
