UID,Watershed (HUC 8),Site #,T1: BKT,T2: BKT,T3: BKT,T1: BRT,T2: BRT,T3: BRT,Trout Presence,Temp,,,,,,,,Temp,Temp,Temp,,,,,,,,,,,,,,,,,,,,
83,Little Maquoketa,8,0,0,0,0,0,0,0,16.3,,,,,,,,14.5,16.3,17.9,,,,,,22.2,15.3,,,62,Yellow River,65,0,0,0,1,1,1,1,13.9
84,Little Maquoketa,10,0,0,0,0,0,0,0,12.2,,,,,,,,13.1,12.2,15.6,,,,,,15.4,16.3,,,63,Yellow River,73,0,0,0,1,0,1,1,14.9
86,Little Maquoketa,28b,0,0,0,0,0,0,0,16,,,Site Type,Min Temp,Max Temp,Avg Temp,,15.4,16,14.2,,,,,,,12.2,,,64,Yellow River,77,0,0,0,1,1,1,1,21.2
1,Upper Iowa River,1,0,0,0,1,0,1,1,16.9,,,Trout Present,10.5,23.2,15.1,,10.5,,16,,,,,,,16,,,66,Yellow River,82,0,0,0,1,1,1,1,17.9
3,Upper Iowa River,10,0,0,0,0,0,1,1,13.1,,,Trout Absent,10.6,25.7,16.3,,14.8,,19.6,,,,,,,,,,,,,,,,,,,,
5,Upper Iowa River,12,0,1,0,0,1,1,1,11.7,,,,,,,,16,,16.7,,,,,,,,,,72,Yellow River,120,0,0,0,1,1,1,1,14.2
7,Upper Iowa River,14,0,0,0,0,1,0,1,13.4,,,,,,,,14.6,,16,,,,,,,,,,75,Yellow River,161,0,0,0,0,1,1,1,16
9,Upper Iowa River,18,0,0,0,1,0,0,1,,,,,,,,,12.2,,11.5,,,,,,,,,,76,Yellow River,178,0,0,0,1,1,1,1,19.6
10,Upper Iowa River,22,0,0,0,1,1,1,1,16.6,,,,,,,,18.1,,12.5,,,,,,,,,,77,Yellow River,193,0,0,0,1,1,1,1,16.7
11,Upper Iowa River,26,0,0,0,1,0,1,1,18.9,,,,,,,,17.5,,16.9,,,,,,,,,,78,Yellow River,201,0,0,0,1,1,1,1,16
15,Upper Iowa River,34,1,1,1,0,0,1,1,13.9,,,,,,,,13.5,,13.9,,,,,,,,,,80,Yellow River,203,0,0,0,1,1,1,1,11.5
16,Upper Iowa River,35,1,1,0,1,1,1,1,12.2,,,,,,,,14.7,,14.9,,,,,,,,,,81,Yellow River,204,0,0,0,1,1,1,1,12.5
18,Upper Iowa River,38,0,0,0,1,1,1,1,11.8,,,,,,,,13.5,,22.2,,,,,,,,,,82,Little Maquoketa,5,0,0,0,1,0,1,1,16.9
22,Upper Iowa River,61,0,0,0,1,0,1,1,16.2,,,,,,,,13.4,,,,,,,,,,,,85,Little Maquoketa,17,0,0,0,0,1,1,1,13.9
25,Upper Iowa River,85,1,0,0,1,1,1,1,15.9,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,
26,Upper Iowa River,86,0,0,0,1,1,1,1,,,,,,,,,13.4,,,,,,,,,,,,88,Little Maquoketa,61,0,0,0,0,1,0,1,22.2
27,Upper Iowa River,93,0,0,1,0,0,0,1,15.7,,,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,
30,Upper Iowa River,109,0,0,0,1,0,0,1,13.6,,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,
31,Upper Iowa River,117,1,1,1,1,1,1,1,12.4,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,
33,Upper Iowa River,123,0,0,0,1,1,1,1,14.3,,,,,,,,25.7,,,,,,,,,,,,,,,,,,,,,,
35,Upper Iowa River,130,1,1,0,1,1,1,1,11.2,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,
37,Upper Iowa River,149,1,1,1,1,1,1,1,13.1,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,
38,Upper Iowa River,154,1,1,1,1,1,1,1,15.4,,,,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,
39,Upper Iowa River,156,1,1,1,1,1,1,1,10.5,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,
40,Upper Iowa River,157,0,1,0,1,1,1,1,14.8,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
41,Upper Iowa River,163,0,0,0,1,1,1,1,16,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
43,Upper Iowa River,14b,0,0,0,1,1,1,1,12.2,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,
46,Upper Iowa River,201_NCT,0,0,0,1,1,1,1,13.5,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,
47,Upper Iowa River,202_CWT,0,0,0,1,1,1,1,14.7,,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,
48,Yellow River,1,0,0,0,1,1,1,1,13.5,,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,
49,Yellow River,4,0,0,0,1,1,1,1,13.4,,,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,
50,Yellow River,17,0,0,0,0,0,1,1,17.1,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,,
51,Yellow River,20,0,0,0,1,1,1,1,13.4,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,
52,Yellow River,25,1,1,1,0,0,0,1,15.7,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,
53,Yellow River,29,0,0,0,1,0,1,1,23.2,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,
59,Yellow River,52,0,0,0,0,1,0,1,14.3,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,
60,Yellow River,56,0,0,0,1,1,1,1,18,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,
62,Yellow River,65,0,0,0,1,1,1,1,13.9,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,
63,Yellow River,73,0,0,0,1,0,1,1,14.9,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,
64,Yellow River,77,0,0,0,1,1,1,1,21.2,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
66,Yellow River,82,0,0,0,1,1,1,1,17.9,,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,
68,Yellow River,103,1,1,1,1,0,0,1,15.6,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,
72,Yellow River,120,0,0,0,1,1,1,1,14.2,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
75,Yellow River,161,0,0,0,0,1,1,1,16,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,
76,Yellow River,178,0,0,0,1,1,1,1,19.6,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,
77,Yellow River,193,0,0,0,1,1,1,1,16.7,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,
78,Yellow River,201,0,0,0,1,1,1,1,16,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,
80,Yellow River,203,0,0,0,1,1,1,1,11.5,,,,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,
81,Yellow River,204,0,0,0,1,1,1,1,12.5,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,
82,Little Maquoketa,5,0,0,0,1,0,1,1,16.9,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,
85,Little Maquoketa,17,0,0,0,0,1,1,1,13.9,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
87,Little Maquoketa,24,1,1,1,1,1,1,1,14.9,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,
88,Little Maquoketa,61,0,0,0,0,1,0,1,22.2,,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TEMP > 15.9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TEMP < 15.9,49,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TEMP = 15.9,2,,,,,,,,25.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,
