"newID","HUC8","site","mean_len","med_len","adult_count","RchLength","seg_length","adult_100m","pctSlope","pctRiffle","pctfines","avwid","MEANT","BrBnk","HAiFLS_for","HAiFLS_ag","BRT_100m"
"LMAQ_15","LMAQ","15",164.333333333333,182,53,92,276,19.2028985507246,2.3967977168,20.8333333333333,32.6086956521739,2.90625,16.4618981481481,1,61.2558517,9.3395329,30.4347826086957
"LMAQ_17","LMAQ","17",136.333333333333,137,0,100,300,0,8.08968869462,41.6666666666667,16.6666666666667,4.8,18.6027178774929,0.416666666666667,59.9917831,24.2044353,1
"LMAQ_20","LMAQ","20",59.6,60,0,64,192,0,4.13094327544,66.6666666666667,0,2.41458333333333,16.2021296296296,0.541666666666667,98.6865692,0.4987997,7.8125
"LMAQ_23","LMAQ","23",117.409090909091,88,7,56,168,4.16666666666667,7.36925993135,50,12.8205128205128,1.70625,14.7113194444444,0.208333333333333,70.4950867,12.8322458,13.0952380952381
"LMAQ_24","LMAQ","24",196.892857142857,208,22,100,300,7.33333333333333,0.342229285476,29.1666666666667,7.5,3.47916666666667,18.2475462962963,0.833333333333333,58.1847878,26.0424576,9.33333333333333
"LMAQ_26","LMAQ","26",160.322580645161,192,18,75,225,8,1.06301684915,41.6666666666667,15.2173913043478,2.89166666666667,16.9257407407407,0.541666666666667,74.9590683,5.6442242,13.7777777777778
"LMAQ_5","LMAQ","5",162,162,1,117,351,0.284900284900285,5.07977974828,20.8333333333333,19.4444444444444,2.88333333333333,20.3291666666667,1.25,47.939209,43.5317421,0.56980056980057
"LMAQ_61","LMAQ","61",225,225,1,110,330,0.303030303030303,24.1179006163,25,19.5652173913043,5.6375,22.6255555555556,0.625,44.912468,18.4975433,0.303030303030303
"LMAQ_8","LMAQ","8",107.378378378378,55,11,100,300,3.66666666666667,1.80576675617,45.8333333333333,4.34782608695652,3.22916666666667,15.3623148148148,1.95833333333333,90.1195068,4.0455251,12.3333333333333
"UPI_1","UPI","1",179.071428571429,232.5,8,96,288,2.77777777777778,0.487275817236,50,53.3333333333333,3.125,17.421875,1.33333333333333,39.1816711,7.0419693,4.86111111111111
"UPI_10","UPI","10",177,177,1,150,450,0.222222222222222,1.2751118955,4.16666666666667,70.8333333333333,3.825,18.4495601851852,1.875,0.0171744,71.1617584,0.222222222222222
"UPI_109","UPI","109",223.75,253.5,16,92,276,5.79710144927536,3.65059114232,33.3333333333333,0,3.77083333333333,18.9732638888889,0.625,24.677969,0.0531152,7.2463768115942
"UPI_117","UPI","117",204.956989247312,219,70,90,270,25.9259259259259,4.4551419772,29.1666666666667,21.9512195121951,3.52083333333333,16.6258796296296,0.291666666666667,64.0907898,2.9127879,34.4444444444444
"UPI_12","UPI","12",169.5,172.5,3,50,150,2,7.48499723501,41.6666666666667,27.6595744680851,2.05833333333333,17.7402777777778,1.41666666666667,25.6601162,53.8789177,2.66666666666667
"UPI_123","UPI","123",223.722222222222,218.5,17,150,450,3.77777777777778,0.163439000522,29.1666666666667,6.81818181818182,4.45416666666667,18.4933101851852,1.08333333333333,23.0814247,43.2231598,4
"UPI_130","UPI","130",167.846153846154,153,7,120,360,1.94444444444444,8.34030296968,16.6666666666667,45.945945945946,2.925,18.2037731481481,0.416666666666667,39.1104546,11.2023516,3.61111111111111
"UPI_14","UPI","14",246.5,246.5,2,100,300,0.666666666666667,7.55066907722,29.1666666666667,47.8260869565217,2.575,18.7827083333333,0.583333333333333,72.1483536,0.3643101,0.666666666666667
"UPI_149","UPI","149",177.688351648352,175.26,120,150,450,26.6666666666667,4.49829347533,33.3333333333333,32.6086956521739,5.43333333333333,16.5852546296296,0.458333333333333,43.5465355,19.796442,40.4444444444444
"UPI_14b","UPI","14b",246.05,227,20,100,300,6.66666666666667,0.571810279847,25,62.5,2.57083333333333,18.140162037037,0,64.087616,0.3148152,6.66666666666667
"UPI_151","UPI","151",195.6,252,27,150,450,6,4.05152888945,70.8333333333333,8.33333333333333,3.91875,20.6827083333333,0.791666666666667,13.1353903,57.4563255,10
"UPI_154","UPI","154",244.760563380282,225,71,117,351,20.2279202279202,0.58209764105,41.6666666666667,2.7027027027027,3.92083333333333,18.4892592592593,0.25,13.6107121,57.3743019,20.2279202279202
"UPI_156","UPI","156",176.142857142857,180,6,68,204,2.94117647058824,16.1070156807,62.5,15,3.33333333333333,10.7275925925926,0.583333333333333,54.1856232,17.1424675,3.43137254901961
"UPI_157","UPI","157",238.666666666667,220,152,150,450,33.7777777777778,3.62957967923,8.33333333333333,45.8333333333333,5.74583333333333,19.7186342592593,0.416666666666667,21.1315403,28.7696514,35.3333333333333
"UPI_163","UPI","163",215.758064516129,184,49,60,180,27.2222222222222,2.49079588009,25,8.88888888888889,4.34583333333333,18.1166898148148,0.5,40.6095695,20.7221489,35
"UPI_18","UPI","18",195.5,195.5,2,114,342,0.584795321637427,10.2294417028,29.1666666666667,50,2.9,19.3814814814815,1.625,6.680882,43.0702248,0.584795321637427
"UPI_201","UPI","201",168.88,166.5,36,98,294,12.2448979591837,3.38793005857,45.8333333333333,3.7037037037037,4.625,14.2394444444444,0,19.5544434,46.0964394,17.0068027210884
"UPI_202","UPI","202",210.5,190.5,41,90,270,15.1851851851852,5.65214008749,66.6666666666667,12.1212121212121,2.85,17.0815972222222,0.35,30.7904701,17.7761421,17.037037037037
"UPI_22","UPI","22",253.536585365854,264,34,120,360,9.44444444444444,7.19080127754,37.5,32.258064516129,2.18333333333333,18.7746296296296,0.791666666666667,0.0007945,68.9955521,11.3888888888889
"UPI_26","UPI","26",263,243.5,2,150,450,0.444444444444444,0.764144651207,29.1666666666667,20.8333333333333,5.72916666666667,23.1805787037037,0.916666666666667,12.4863567,39.3303566,0.888888888888889
"UPI_28","UPI","28",245,252,3,150,450,0.666666666666667,0.900719,41.6666666666667,10.6382978723404,5.3875,18.1602546296296,0.625,12.1601791,39.621933,0.666666666666667
"UPI_34","UPI","34",268.5625,283.5,16,150,450,3.55555555555556,13.6326989144,16.6666666666667,14.2857142857143,3.2625,16.6888657407407,1.04166666666667,35.5497017,13.2846823,3.55555555555556
"UPI_35","UPI","35",219.917647058824,192.5,130,150,450,28.8888888888889,5.25571002239,29.1666666666667,13.6363636363636,5.925,17.2473611111111,0.625,18.2874947,34.4313202,37.7777777777778
"UPI_38","UPI","38",284.972222222222,294.5,35,91,273,12.8205128205128,0.902388834814,8.33333333333333,43.2432432432432,2.3375,18.6836111111111,0.833333333333333,4.9718437,56.7960014,13.1868131868132
"UPI_61","UPI","61",275.6,296,5,50,150,3.33333333333333,0.0277088105546,66.6666666666667,16.6666666666667,2.25,17.9340277777778,0.333333333333333,34.8816223,0.1207526,3.33333333333333
