"HUC8","newID","BRT_100m","adult_100m","mean_len","med_len","pctSlope","HAiFLS_for","HAiFLS_ag","avwid","pctRiffle","pctfines","BrBnk","MEANT"
"LMAQ","LMAQ_15",30.4347826086957,19.2028985507246,164.333333333333,182,2.3967977168,61.2558517,9.3395329,2.90625,20.8333333333333,32.6086956521739,1,16.4618981481481
"LMAQ","LMAQ_17",1,0,136.333333333333,137,8.08968869462,59.9917831,24.2044353,4.8,41.6666666666667,16.6666666666667,0.416666666666667,18.6027178774929
"LMAQ","LMAQ_20",7.8125,0,59.6,60,4.13094327544,98.6865692,0.4987997,2.41458333333333,66.6666666666667,0,0.541666666666667,16.2021296296296
"LMAQ","LMAQ_23",13.0952380952381,4.16666666666667,117.409090909091,88,7.36925993135,70.4950867,12.8322458,1.70625,50,12.8205128205128,0.208333333333333,14.7113194444444
"LMAQ","LMAQ_24",9.33333333333333,7.33333333333333,196.892857142857,208,0.342229285476,58.1847878,26.0424576,3.47916666666667,29.1666666666667,7.5,0.833333333333333,18.2475462962963
"LMAQ","LMAQ_26",13.7777777777778,8,160.322580645161,192,1.06301684915,74.9590683,5.6442242,2.89166666666667,41.6666666666667,15.2173913043478,0.541666666666667,16.9257407407407
"LMAQ","LMAQ_5",0.56980056980057,0.284900284900285,162,162,5.07977974828,47.939209,43.5317421,2.88333333333333,20.8333333333333,19.4444444444444,1.25,20.3291666666667
"LMAQ","LMAQ_61",0.303030303030303,0.303030303030303,225,225,24.1179006163,44.912468,18.4975433,5.6375,25,19.5652173913043,0.625,22.6255555555556
"LMAQ","LMAQ_8",12.3333333333333,3.66666666666667,107.378378378378,55,1.80576675617,90.1195068,4.0455251,3.22916666666667,45.8333333333333,4.34782608695652,1.95833333333333,15.3623148148148
"UPI","UPI_1",4.86111111111111,2.77777777777778,179.071428571429,232.5,0.487275817236,39.1816711,7.0419693,3.125,50,53.3333333333333,1.33333333333333,17.421875
"UPI","UPI_10",0.222222222222222,0.222222222222222,177,177,1.2751118955,0.0171744,71.1617584,3.825,4.16666666666667,70.8333333333333,1.875,18.4495601851852
"UPI","UPI_109",7.2463768115942,5.79710144927536,223.75,253.5,3.65059114232,24.677969,0.0531152,3.77083333333333,33.3333333333333,0,0.625,18.9732638888889
"UPI","UPI_117",34.4444444444444,25.9259259259259,204.956989247312,219,4.4551419772,64.0907898,2.9127879,3.52083333333333,29.1666666666667,21.9512195121951,0.291666666666667,16.6258796296296
"UPI","UPI_12",2.66666666666667,2,169.5,172.5,7.48499723501,25.6601162,53.8789177,2.05833333333333,41.6666666666667,27.6595744680851,1.41666666666667,17.7402777777778
"UPI","UPI_123",4,3.77777777777778,223.722222222222,218.5,0.163439000522,23.0814247,43.2231598,4.45416666666667,29.1666666666667,6.81818181818182,1.08333333333333,18.4933101851852
"UPI","UPI_130",3.61111111111111,1.94444444444444,167.846153846154,153,8.34030296968,39.1104546,11.2023516,2.925,16.6666666666667,45.945945945946,0.416666666666667,18.2037731481481
"UPI","UPI_14",0.666666666666667,0.666666666666667,246.5,246.5,7.55066907722,72.1483536,0.3643101,2.575,29.1666666666667,47.8260869565217,0.583333333333333,18.7827083333333
"UPI","UPI_149",40.4444444444444,26.6666666666667,177.688351648352,175.26,4.49829347533,43.5465355,19.796442,5.43333333333333,33.3333333333333,32.6086956521739,0.458333333333333,16.5852546296296
"UPI","UPI_14b",6.66666666666667,6.66666666666667,246.05,227,0.571810279847,64.087616,0.3148152,2.57083333333333,25,62.5,0,18.140162037037
"UPI","UPI_151",10,6,195.6,252,4.05152888945,13.1353903,57.4563255,3.91875,70.8333333333333,8.33333333333333,0.791666666666667,20.6827083333333
"UPI","UPI_154",20.2279202279202,20.2279202279202,244.760563380282,225,0.58209764105,13.6107121,57.3743019,3.92083333333333,41.6666666666667,2.7027027027027,0.25,18.4892592592593
"UPI","UPI_156",3.43137254901961,2.94117647058824,176.142857142857,180,16.1070156807,54.1856232,17.1424675,3.33333333333333,62.5,15,0.583333333333333,10.7275925925926
"UPI","UPI_157",35.3333333333333,33.7777777777778,238.666666666667,220,3.62957967923,21.1315403,28.7696514,5.74583333333333,8.33333333333333,45.8333333333333,0.416666666666667,19.7186342592593
"UPI","UPI_163",35,27.2222222222222,215.758064516129,184,2.49079588009,40.6095695,20.7221489,4.34583333333333,25,8.88888888888889,0.5,18.1166898148148
"UPI","UPI_18",0.584795321637427,0.584795321637427,195.5,195.5,10.2294417028,6.680882,43.0702248,2.9,29.1666666666667,50,1.625,19.3814814814815
"UPI","UPI_201",17.0068027210884,12.2448979591837,168.88,166.5,3.38793005857,19.5544434,46.0964394,4.625,45.8333333333333,3.7037037037037,0,14.2394444444444
"UPI","UPI_202",17.037037037037,15.1851851851852,210.5,190.5,5.65214008749,30.7904701,17.7761421,2.85,66.6666666666667,12.1212121212121,0.35,17.0815972222222
"UPI","UPI_22",11.3888888888889,9.44444444444444,253.536585365854,264,7.19080127754,0.0007945,68.9955521,2.18333333333333,37.5,32.258064516129,0.791666666666667,18.7746296296296
"UPI","UPI_26",0.888888888888889,0.444444444444444,263,243.5,0.764144651207,12.4863567,39.3303566,5.72916666666667,29.1666666666667,20.8333333333333,0.916666666666667,23.1805787037037
"UPI","UPI_28",0.666666666666667,0.666666666666667,245,252,0.900719,12.1601791,39.621933,5.3875,41.6666666666667,10.6382978723404,0.625,18.1602546296296
"UPI","UPI_34",3.55555555555556,3.55555555555556,268.5625,283.5,13.6326989144,35.5497017,13.2846823,3.2625,16.6666666666667,14.2857142857143,1.04166666666667,16.6888657407407
"UPI","UPI_35",37.7777777777778,28.8888888888889,219.917647058824,192.5,5.25571002239,18.2874947,34.4313202,5.925,29.1666666666667,13.6363636363636,0.625,17.2473611111111
"UPI","UPI_38",13.1868131868132,12.8205128205128,284.972222222222,294.5,0.902388834814,4.9718437,56.7960014,2.3375,8.33333333333333,43.2432432432432,0.833333333333333,18.6836111111111
"UPI","UPI_61",3.33333333333333,3.33333333333333,275.6,296,0.0277088105546,34.8816223,0.1207526,2.25,66.6666666666667,16.6666666666667,0.333333333333333,17.9340277777778
"UPI","UPI_70",0.740740740740741,0,84.5,84.5,20.8567531668,62.1048622,7.2748556,3.37916666666667,12.5,46.5116279069767,0.75,18.287037037037
"UPI","UPI_73",14.0804597701149,11.2068965517241,252.183673469388,278,0.307057562111,40.6795349,30.6348381,3.05625,29.1666666666667,16.6666666666667,0.375,13.6711111111111
"UPI","UPI_78",0.666666666666667,0.444444444444444,205.666666666667,223,0.803609750771,74.7585602,9.3273573,3.93541666666667,20.8333333333333,76.5957446808511,1.16666666666667,19.4758796296296
"UPI","UPI_78b",0.666666666666667,0,86,86,28.5848519792,93.3640213,0.1374996,1.91666666666667,29.1666666666667,44.1176470588235,1.54166666666667,10.3484722222222
"UPI","UPI_85",36.231884057971,29.3478260869565,210.13,204.5,0.140089699702,57.5264244,7.2566895,3.5304347826087,54.1666666666667,0,0.625,17.6680787037037
"UPI","UPI_86",5.18518518518519,3.33333333333333,163,186,4.90593066329,16.0228348,36.1588211,2.85833333333333,37.5,10,1.66666666666667,14.5513657407407
"YEL","YEL_1",5.33333333333333,5.11111111111111,296.458333333333,305.5,0.0722113107331,3.7210562,62.5232162,5.99583333333333,29.1666666666667,25,0.916666666666667,22.05375
"YEL","YEL_103",1.6025641025641,0.961538461538462,151.2,155,1.05908898939,94.6966782,0.2447607,2.60833333333333,33.3333333333333,13.8888888888889,0.5,17.9855324074074
"YEL","YEL_118b",4.16666666666667,0.32051282051282,68.0769230769231,52,3.32733442591,11.4105396,44.4630585,2.58333333333333,37.5,45.6521739130435,0.833333333333333,16.6810185185185
"YEL","YEL_120",9.77777777777778,6.44444444444444,198.522727272727,215.5,7.43378379571,41.5897789,23.1831112,4.5125,25,50,1.20833333333333,18.6027178774929
"YEL","YEL_140",19.3333333333333,7,143.035714285714,84.5,0.784227040857,49.5317574,24.0528851,2.84583333333333,37.5,17.0212765957447,1.95833333333333,16.4059027777778
"YEL","YEL_161",2.46913580246914,2.46913580246914,389,391.5,5.45306515819,2.7802911,60.0718346,3.25,25,10.8108108108108,0.916666666666667,20.0139351851852
"YEL","YEL_165",3.77777777777778,3.77777777777778,356.470588235294,351,0.503282681676,3.9886549,75.5969696,5.71458333333333,25,25,1.25,21.8503009259259
"YEL","YEL_168",20.4444444444444,15.7777777777778,217.89247311828,226,0.350989941905,12.8519182,57.8468933,3.75,12.5,20,0.25,16.2077777777778
"YEL","YEL_17",0.416666666666667,0.416666666666667,390,390,0.198101325164,1.6840376,63.171627,2.17708333333333,4.16666666666667,28,0.166666666666667,23.1765046296296
"YEL","YEL_178",36.8888888888889,19.5555555555556,153.174698795181,168.5,1.43784641998,60.1216202,8.4783268,4.62916666666667,20.8333333333333,25,0.5,18.0572222222222
"YEL","YEL_190",0.396825396825397,0,63,63,3.26489495614,48.5575371,14.4992495,2.725,37.5,40.4255319148936,1.125,18.5170138888889
"YEL","YEL_193",41.5555555555556,40.8888888888889,243.155080213904,248,1.98464156005,16.8383675,51.7653847,7.5,41.6666666666667,17.7777777777778,0.791666666666667,19.7394212962963
"YEL","YEL_20",16,14.2222222222222,206.236111111111,207,1.38466659854,19.3974342,54.3286362,4.3875,54.1666666666667,13.0434782608696,0.708333333333333,20.9804166666667
"YEL","YEL_201",28.0555555555556,20.2777777777778,184.50495049505,193,5.25454338693,55.9356232,1.5748994,2.9125,20.8333333333333,34.2105263157895,0.625,18.2513425925926
"YEL","YEL_203",8.22222222222222,7.77777777777778,190,191,22.8059643631,5.0032735,70.7193222,6.43333333333333,45.8333333333333,12.7659574468085,1.45833333333333,13.3194907407407
"YEL","YEL_204",34.6666666666667,33.3333333333333,234.737179487179,236,0.918692766573,12.9460535,48.5094414,4.54583333333333,20.8333333333333,25,0.916666666666667,13.6253240740741
"YEL","YEL_24",4.44444444444444,4.44444444444444,296.461538461538,311,1.25144719387,9.9703712,59.9961166,3.45416666666667,29.1666666666667,6.25,0.833333333333333,18.6837268518519
"YEL","YEL_28",37.6666666666667,23.6666666666667,189.035398230089,211,47.1642981283,14.0129747,61.4368019,4.46875,37.5,4.16666666666667,0.583333333333333,16.9754398148148
"YEL","YEL_29",1.33333333333333,1.33333333333333,240,240,2.52194157873,11.331625,14.3307648,2.65,25,20.6896551724138,0.166666666666667,23.3497453703704
"YEL","YEL_4",20.8333333333333,18.8888888888889,201.054054054054,197,3.11672360978,8.1076403,68.2212372,2.4,50,11.4285714285714,0.166666666666667,13.3723842592593
"YEL","YEL_40",19.1111111111111,19.3333333333333,246.022988505747,233,10.0335756006,14.6147203,54.169342,6.14583333333333,50,4.54545454545455,0.208333333333333,22.7101157407407
"YEL","YEL_42",6.22222222222222,1.33333333333333,151.857142857143,77,1.25655686193,18.1296501,51.6090927,4.33541666666667,45.8333333333333,0,0.666666666666667,16.1628472222222
"YEL","YEL_49",1.14155251141552,1.14155251141552,289,303,2.51502340812,8.8935728,57.0665169,4.475,43.4782608695652,0,0.875,22.5975462962963
