"uid","HUC8","Site","Order","SegLen","elev_m","RchLen","effsec","t1_eff","t2_eff","t3_eff","pH","DO","temp","avgT","sdT","MAXT","MEANT","RNGT","avwid","sdwid","t1_avwid","t2_avwid","t3_avwid","avdep","t1_avdep","t2_avdep","t3_avdep","maxdep","t1_maxdep","t2_maxdep","t3_maxdep","sdDep","WidDep","mFlow","sdFlow","t1_flow","t2_flow","t3_flow","maxflow","t1_maxflow","t2_maxflow","t3_maxflow","pctRiffle","pctrun","pctslow","machabprop","pctclay","pctsilt","pctsand","pctfines","pctgrvl","pctcbbl","pctbldr","pctrock","subprop","pctEmb1","LWD","t1_LWD","t2_LWD","t3_LWD","FWD","under","t1_under","t2_under","t3_under","boulder","depool","pctVertbnk","Avbnka","pctBrBnk","pctShade","pctShadeSD","Sinuosity","pctSlope","CatArea_km2","HAiFLS_alt","HAiFLS_nat","HAiFLS_ag","HAiFLS_dev","HAiFLS_for"
1,"UPI","1",3,1309.00712495,296.441101074,96,1463,537,575,351,7.81,11.79,16.9,13.3717967967968,2.10005779988147,20.71,17.421875,8.69722222222221,3.125,0.926071647148413,2.7875,3.2875,3.3,0.332666666666667,0.2225,0.376875,0.413846153846154,1,0.32,1,0.92,0.205972195828819,9.3937875751503,0.175111111111111,0.182366043268405,0.225625,0.12625,0.173076923076923,0.68,0.58,0.5,0.68,50,0.375,20.8333333333333,37.5,2.22222222222222,26.6666666666667,24.4444444444444,53.3333333333333,2.22222222222222,42.2222222222222,0,44.4444444444444,42.2222222222222,25,0.130434782608696,0,0.375,0,0.304347826086957,0.454545454545455,0.5,0.5,0.333333333333333,0.181818181818182,1.36363636363636,0,37.5416666666667,1.33333333333333,27.8219395866455,12.9229169513386,1.23633001633,0.487275817236,9.1326982674,58.6448364,41.3490601,7.0419693,10.1226835,39.1816711
2,"UPI","8",4,523.246791761,338.43447876,150,5430,2133,1487,1810,8.6,11.64,12.9,18.7604122872873,2.16286186513157,23.9661111111111,21.9288194444444,5.72722222222222,6.91666666666667,0.494901541957473,6.9375,7.0125,6.8,0.36051724137931,0.447916666666667,0.291666666666667,0.306875,0.7,0.7,0.46,0.54,0.14410549758549,19.1853977363303,0.302931034482759,0.202969262392373,0.250909090909091,0.332222222222222,0.361875,0.83,0.83,0.75,0.75,20.8333333333333,0.695652173913043,4.16666666666667,66.6666666666667,0,7.01754385964912,24.5614035087719,31.5789473684211,8.7719298245614,57.8947368421053,0,66.6666666666667,57.8947368421053,16.6666666666667,0.333333333333333,0.75,0,0.25,0.875,0.666666666666667,1.75,0,0.25,0.0833333333333333,1.25,33.3333333333333,50,1.75,21.4714714714715,11.4491283372377,1.07247741202,12.5936041884,25.2372933268,86.0427628,13.1092787,60.0907021,5.4927406,3.8072126
3,"UPI","10",4,815.304845227,365.914550781,150,3824,1310,1447,1067,9.4,13.5,13.1,15.3055305305305,1.94523348964251,20.805,18.4495601851852,6.605,3.825,0.418330013267037,3.9625,3.95,3.5625,0.462083333333333,0.542916666666667,0.454583333333334,0.38875,0.7,0.7,0.68,0.61,0.122208981712752,8.27772768259694,0.319154929577465,0.191816478354205,0.247272727272727,0.277619047619048,0.446818181818182,1.01,0.39,0.46,1.01,4.16666666666667,0.782608695652174,4.16666666666667,75,1.38888888888889,55.5555555555556,13.8888888888889,70.8333333333333,8.33333333333333,18.0555555555556,2.77777777777778,29.1666666666667,55.5555555555556,0,0,0,0,0,0.0833333333333333,2.41666666666667,3.5,2,1.75,0.416666666666667,2.75,20.8333333333333,44.5833333333333,1.875,2.70270270270269,3.56971387408811,1.29537339305,1.2751118955,18.1424096868,90.6259918,9.3537235,71.1617584,6.0576077,0.0171744
4,"UPI","11",1,2363.3243892,289.087463379,50,1278,496,356,426,8.45,11.24,10.6,13.1058896396396,2.2789770573031,20.1377777777778,16.7671759259259,8.33611111111111,2.10416666666667,0.602515860636748,1.7875,1.9375,2.5875,0.107878787878788,0.09125,0.143333333333333,0.0853846153846154,0.24,0.13,0.24,0.15,0.0431391336084169,19.5049157303371,0.333939393939394,0.188612356997417,0.4675,0.213333333333333,0.363076923076923,0.69,0.69,0.44,0.65,83.3333333333333,0.166666666666667,0,83.3333333333333,3.03030303030303,9.09090909090909,0,12.1212121212121,0,87.8787878787879,0,87.8787878787879,87.8787878787879,8.33333333333333,0.625,0.375,1,0.5,1.16666666666667,0.25,0.5,0.25,0,0.333333333333333,0.166666666666667,0,21.3333333333333,0.416666666666667,88.963963963964,9.77277559637705,1.27124866448,7.23810199284,1.81014783852,38.6119499,61.3880501,1.0174063,7.3888688,61.3778419
5,"UPI","12",2,474.656792691,305.83380127,50,1126,350,339,437,9.02,15.53,11.7,14.92754004004,1.57895903214278,20.6333333333333,17.7402777777778,5.27777777777777,2.05833333333333,0.946350733156014,1.65,2.1875,2.3375,0.183541666666667,0.11,0.250625,0.19,0.59,0.36,0.59,0.58,0.157324567387125,11.2145289443814,0.114375,0.191132194978886,0.162,0.0613333333333333,0.138666666666667,0.93,0.93,0.52,0.6,41.6666666666667,0.333333333333333,25,41.6666666666667,0,27.6595744680851,0,27.6595744680851,6.38297872340426,65.9574468085106,0,72.3404255319149,65.9574468085106,41.6666666666667,0,0,0,0,0.0833333333333333,1.16666666666667,1,2,0.5,0.166666666666667,1.75,33.3333333333333,43.3333333333333,1.41666666666667,31.3063063063063,13.5190342004999,1.07198544666,7.48499723501,3.83447967629,69.1975632,30.8024406,53.8789177,2.0984025,25.6601162
6,"UPI","13",2,496.591581249,365.534545898,150,2286,1054,633,599,8.1,9.74,15.9,15.7792924174174,1.93001953105148,21.2822222222222,18.66375,5.83777777777778,3.65833333333333,1.49460382031833,4.825,2.3875,3.7625,0.439375,0.454666666666667,0.33,0.53375,0.88,0.78,0.46,0.88,0.208573302655554,8.32622095779991,0.168125,0.154323445420492,0.0928571428571429,0.28375,0.16375,0.6,0.29,0.43,0.6,25,0.291666666666667,37.5,37.5,0,37.5,6.25,43.75,6.25,50,0,56.25,50,16.6666666666667,0.25,0.75,0,0,0.958333333333333,0.25,0.25,0.5,0,0,1.66666666666667,16.6666666666667,44.375,2.70833333333333,62.4624624624625,15.6657547860252,1.04920178372,6.60373853635,4.63892549403,81.7649384,18.2350636,69.8995895,1.1858387,14.4057808
7,"UPI","14",3,381.568403274,201.243164063,100,1045,417,429,199,8.68,11.84,13.4,15.0425475475475,1.89259148400547,20.9961111111111,18.7827083333333,7.43833333333334,2.575,0.710327542329103,2.5875,2.8125,2.325,0.240212765957447,0.18625,0.355625,0.174666666666667,0.62,0.36,0.62,0.28,0.159734689838605,10.7196634189548,0.243191489361702,0.14722219798036,0.32875,0.18125,0.218,0.74,0.74,0.53,0.42,29.1666666666667,0.583333333333333,4.16666666666667,58.3333333333333,8.69565217391304,4.34782608695652,34.7826086956522,47.8260869565217,23.9130434782609,28.2608695652174,0,52.1739130434783,34.7826086956522,25,0,0,0,0,0.583333333333333,0.333333333333333,0,0.5,0.5,0.0833333333333333,0.833333333333333,12.5,36.875,0.583333333333333,18.3183183183183,12.106930980962,1.10887847378,7.55066907722,10.7978725133,25.2236767,74.7287979,0.3643101,0.1114655,72.1483536
8,"UPI","16",2,662.559421074,354.14453125,50,1158,518,323,317,8.06,10.55,14.6,15.9637212212212,1.79256535264052,21.9511111111111,18.7233796296296,6.77,1.5375,0.619826413287379,1.8125,1.575,1.225,0.282222222222222,0.266666666666667,0.303333333333333,0.276666666666667,0.5,0.42,0.5,0.44,0.107094380567826,5.44783464566929,0.23,0.156934927369822,0.261818181818182,0.204545454545455,0.241818181818182,0.61,0.61,0.54,0.46,12.5,0.833333333333333,0,83.3333333333333,0,61.1111111111111,0,61.1111111111111,2.77777777777778,36.1111111111111,0,38.8888888888889,61.1111111111111,33.3333333333333,0.0416666666666667,0.125,0,0,0.0416666666666667,0.416666666666667,0.5,0.25,0.5,0,0.416666666666667,50,49.375,1.375,21.4285714285714,15.7551666041738,1.12274112027,0.37087622828,3.28467176026,98.2360916,1.7639065,61.2893448,0.8135203,0.4850812
9,"UPI","18",4,918.215188446,315.906982422,114,2051,781,739,531,8.85,14.3,15.6,16.0150563063063,1.98256918946233,21.2822222222222,19.3814814814815,5.38611111111112,2.9,0.699689372072569,2.9875,2.7375,2.975,0.159166666666667,0.150625,0.1425,0.184375,0.44,0.44,0.44,0.32,0.100060265528274,18.2198952879581,0.0664583333333333,0.12298572107628,0.049375,0.138125,0.011875,0.61,0.25,0.61,0.05,29.1666666666667,0.125,58.3333333333333,58.3333333333333,0,47.9166666666667,2.08333333333333,50,4.16666666666667,43.75,2.08333333333333,50,47.9166666666667,25,0.208333333333333,0.5,0.125,0,0.458333333333333,0.0833333333333333,0.25,0,0,0.916666666666667,2.66666666666667,8.33333333333333,29.7916666666667,1.625,66.7417417417417,14.3920999052445,1.30640810065,10.2294417028,16.5727510056,85.1287079,14.8607607,43.0702248,3.2313552,6.680882
10,"UPI","22",3,469.855098632,377.625274658,120,1198,334,547,317,8.2,10.63,16.6,15.4286361361361,1.62945915890565,21.3777777777778,18.7746296296296,5.90500000000001,2.18333333333333,0.447861262161541,1.9125,2.45,2.1875,0.260322580645161,0.21,0.249090909090909,0.323,0.52,0.28,0.52,0.46,0.0998159596780575,8.38703015282941,0.268387096774193,0.156845928099171,0.368888888888889,0.283,0.192222222222222,0.72,0.6,0.72,0.36,37.5,0.458333333333333,0,45.8333333333333,0,22.5806451612903,9.67741935483871,32.258064516129,25.8064516129032,41.9354838709677,0,67.741935483871,41.9354838709677,25,0.166666666666667,0.375,0.125,0,0.25,1.41666666666667,1.5,1.25,1.5,0.166666666666667,0.166666666666667,4.16666666666667,40,0.791666666666667,3.60360360360362,2.99494523651051,1.08106332032,7.19080127754,7.84405038447,97.8261032,2.0670819,68.9955521,3.7366495,0.0007945
11,"UPI","26",3,885.441149486,322.95916748,150,7215,2375,2435,2405,8.88,10.58,18.9,17.9214348702444,3.00894292494216,29.9527777777778,23.1805787037037,17.8011111111111,5.72916666666667,1.83598786740963,6.0125,4.925,6.25,0.281458333333333,0.248125,0.33875,0.2575,1.5,0.54,1.5,0.48,0.228845293680504,20.3552923760178,0.37625,0.335404646055693,0.335625,0.4625,0.330625,1.34,0.72,1.34,1.2,29.1666666666667,0.35,16.6666666666667,29.1666666666667,0,20.8333333333333,0,20.8333333333333,0,77.0833333333333,2.08333333333333,79.1666666666667,77.0833333333333,16.6666666666667,0.166666666666667,0.125,0.25,0.125,0.541666666666667,0.166666666666667,0,0,0.5,0.333333333333333,1,8.33333333333333,21.8333333333333,0.916666666666667,58.4834834834835,14.4837895155294,1.40702720136,0.764144651207,21.0185997686,80.4846191,19.1248531,39.3303566,14.0896053,12.4863567
